len,count,word,sentiment,topic
2.0,611035,股份,2.0,3.0
1.0,584444,的,2.0,
1.0,526207,月,2.0,
1.0,487050,股,2.0,3
2.0,445497,中国,2.0,
1.0,438715,元,2.0,
1.0,432221,年,2.0,
1.0,429813,亿,2.0,3.0
2.0,419911,公司,2.0,4.0
1.0,361757,日,2.0, 
1.0,347303,将,2.0,
2.0,333437,亿元,2.0,1
2.0,295832,涨停,3.0,1.0
1.0,293608,大,2.0,
1.0,289502,拟,2.0, 
2.0,282459,业绩,3.0,1
2.0,280328,板块,2.0, 
1.0,275127,新,3.0,2
2.0,267882,科技,2.0,
2.0,263850,股东,2.0,4.0
1.0,262692,报,2.0,
2.0,257911,市场,2.0,1.0
2.0,241248,投资,2.0,3.0
2.0,238439,净利,3.0,1
1.0,230946,被,1.0,
2.0,229058,行业,2.0,
1.0,228272,或,2.0,
1.0,223294,在,2.0, 
2.0,222226,收盘,,
2.0,218542,换手,,
2.0,218020,上市,3.0,1
2.0,217143,快讯,2.0,
1.0,216481,中,2.0,
2.0,214220,集团,2.0,4
1.0,212683,与,2.0,
2.0,203409,增长,3.0,
2.0,194584,企业,2.0,
2.0,185834,银行,2.0,3.0
2.0,184348,项目,2.0,1
2.0,178370,发展,3.0,4.0
2.0,175565,机构,2.0, 
1.0,172979,涨,3.0,1
2.0,172872,收购,3.0,4
2.0,164922,同比,2.0,1
2.0,163580,股权,2.0,4.0
2.0,159507,券商,2.0,3.0
1.0,157491,万,2.0,3
1.0,152793,等,2.0,
2.0,151162,汽车,2.0,
2.0,150742,基金,2.0,2.0
2.0,149377,控股,2.0,3.0
1.0,148499,了,2.0,
1.0,147134,逾,3.0,1
1.0,145652,是,2.0,
1.0,143410,不,1.0,
1.0,138991,家,2.0, 
2.0,138132,A股,,
1.0,135946,和,2.0,
1.0,135881,获,3.0, 
1.0,134551,跌,1.0,1.0
2.0,131526,万元,2.0,1
2.0,130910,证券,2.0,3
1.0,130279,为,2.0,
1.0,130243,超,3.0,
1.0,129150,增,3.0,1
1.0,127135,成,2.0, 
