len,count,word,sentiment,topic
2,282459,业绩,3,1
2,238439,净利,3,1
1,124116,增,3,1
2,121409,资产,3,1
3,86873,净利润,3,1
2,74703,经济,3,1
2,69705,盈利,3,1
2,54186,推荐,3,1
2,53089,利润,3,1
2,52223,提升,3,1
2,46586,预增,3,1
2,46489,实现,3,1
2,36182,新高,3,1
2,33848,营收,3,1
2,32367,生产,3,1
1,31396,赚,3,1
2,29493,收益,3,1
2,23260,景气,3,1
2,21944,超过,3,1
2,21773,提前,3,1
2,21393,获得,3,1
2,20852,购买,3,1
2,20790,掘金,3,1
2,20759,提价,3,1
2,20674,开展,3,1
2,20326,出口,3,1
2,20191,创业,3,1
2,20078,释放,3,1
2,20050,飙升,3,1
2,19816,前景,3,1
2,18940,上升,3,1
3,18593,日复牌,3,1
2,17692,渠道,3,1
2,17633,复苏,3,1
2,17035,扭亏,3,1
2,16773,再现,3,1
2,15793,提高,3,1
2,15663,赚钱,3,1
2,15578,分红,3,1
2,15547,高位,3,1
2,14533,近期,3,1
1,14451,抢,3,1
1,14076,量,3,1
2,13629,投产,3,1
2,13256,保持,3,1
1,13251,升,3,1
2,13062,大单,3,1
4,10648,扭亏为盈,3,1
2,10417,精准,3,1
2,10363,翻倍,3,1
2,10182,完善,3,1
2,10137,获利,3,1
2,9827,开工,3,1
1,9429,收,3,1
2,9301,增幅,3,1
2,8576,突围,3,1
1,7745,赢,3,1
2,7499,薪酬,3,1
2,7497,稳步,3,1
3,7170,现金流,3,1
2,6868,贡献,3,1
4,6578,行业龙头,3,1
4,6220,快速增长,3,1
2,6196,增收,3,1
2,6108,大举,3,1
2,6083,兑现,3,1
2,6027,增利,3,1
2,5851,三维,3,1
4,5798,龙头企业,3,1
3,5209,增长点,3,1
2,5151,应收,3,1
2,5147,协同,3,1
2,5139,达到,3,1
2,4492,成效,3,1
4,3849,稳定增长,3,1
2,3846,两倍,3,1
2,3806,力争,3,1
4,3682,持续增长,3,1
3,3627,净流入,3,1
2,3295,增厚,3,1
3,3280,预增超,3,1
4,2874,销售收入,3,1
4,2605,稳步增长,3,1
2,2599,通达,3,1
2,2222,预盈,3,1
4,1660,同比增加,3,1
2,1494,东山,3,1
2,828,净额,3,1
2,715,归母,3,1
2,84491,创新,3,2
2,66280,智能,3,2
2,62746,环保,3,2
2,60361,改革,3,2
2,59492,概念,3,2
2,32841,高端,3,2
1,30289,潮,3,2
2,29761,进军,3,2
2,29151,自主,3,2
2,28687,首次,3,2
2,28639,开发,3,2
2,28474,落地,3,2
2,25569,曝光,3,2
2,24846,研发,3,2
2,23894,推出,3,2
2,23331,登陆,3,2
2,23230,亮相,3,2
2,22552,优质,3,2
2,21936,节能,3,2
2,21421,重磅,3,2
2,18320,研究,3,2
2,17544,高新,3,2
2,17074,解禁,3,2
2,16298,核电,3,2
2,16061,引领,3,2
2,15723,一线,3,2
2,15493,质量,3,2
2,15312,驱动,3,2
2,13907,首批,3,2
2,11586,重启,3,2
2,10495,扶持,3,2
2,10077,亮点,3,2
2,9840,新品,3,2
2,9665,区块,3,2
