len,count,word,sentiment,topic
2,57645,股份,2.0,3.0
1,36982,年,2.0,
2,31355,公司,2.0,4.0
2,30710,亿元,2.0,1
1,29861,月,2.0,
1,26503,的,2.0,
1,25213,亿,2.0,3.0
1,23618,日,2.0, 
2,23422,股东,2.0,4.0
1,22834,拟,2.0, 
2,22806,业绩,3.0,1
2,21512,净利,3.0,1
2,19880,增长,3.0,
2,19029,中国,2.0,
2,18568,科技,2.0,
1,18255,将,2.0,
2,17541,集团,2.0,4
2,16734,提示,2.0,
2,16616,最新,2.0,
2,16227,同比,2.0,1
2,15540,股权,2.0,4.0
1,13739,大,2.0,
2,13558,项目,2.0,1
2,13144,控股,2.0,3.0
1,12951,股,2.0,3
1,12662,与,2.0,
2,12115,投资,2.0,3.0
2,12045,市场,2.0,1.0
1,11995,中,2.0,
2,11783,万元,2.0,1
1,11702,被,1.0,
2,11589,收购,3.0,4
1,10925,新,3.0,2
3,10800,子公司,2.0,4.0
2,10568,上市,3.0,1
2,10481,减持,1.0,3
1,10471,元,2.0,
3,10097,净利润,3.0,1
3,10063,上半年,2.0,
1,9876,增,3.0,1
2,9752,涨停,3.0,1.0
1,9689,或,2.0,
2,9416,药业,2.0, 
2,9317,增持,3.0,1
1,9293,在,2.0, 
1,9122,获,3.0, 
2,8954,资产,3.0,1
2,8870,重组,3.0,4
2,8837,万股,2.0,3.0
2,8612,评级,2.0,4.0
2,8441,发展,3.0,4.0
1,8400,不,1.0,
2,8304,业务,2.0,1
2,8255,汽车,2.0,
2,8121,基金,2.0,2.0
1,7975,万,2.0,3
2,7912,机构,2.0, 
1,7881,为,2.0,
2,7757,预期,2.0,4
2,7595,上海,2.0,
2,7552,行业,2.0,
1,7549,逾,3.0,1
2,7288,产品,2.0,2.0
1,7165,超,3.0,
1,7025,和,2.0,
2,7004,股价,2.0,1
2,6925,资金,2.0,1
2,6841,茅台,2.0,
2,6768,板块,2.0, 
2,6737,企业,2.0,
2,6725,调整,2.0,
2,6700,证券,2.0,3
2,6536,买入,3.0,3.0
1,6446,等,2.0,
1,6389,高,3.0,
2,6389,变更,3.0,4
2,6183,地产,2.0, 
2,6163,ST,,
3,6154,董事长,2.0,4.0
2,5908,交易,2.0,3.0
2,5808,预计,2.0,
2,5714,电子,2.0, 
2,5650,能源,2.0, 
1,5617,遭,1.0,
4,5594,有限公司,2.0,4.0
2,5557,计划,2.0,
1,5522,是,2.0,
1,5513,至,2.0,
2,5448,关注,3.0,4
2,5433,转让,1.0,4
1,5417,成,2.0, 
2,5334,公告,2.0,1
3,5333,一季度,2.0,1
1,5305,有,2.0, 
1,5270,人,2.0,
1,5217,再,3.0,
1,5208,倍,3.0,
1,5181,已,2.0,
2,5168,停牌,1.0,3.0
2,5135,盈利,3.0,1
2,5118,增发,3.0,3
2,5096,医药,2.0, 
2,5084,有望,3.0,4
2,5073,预增,3.0,1
2,5043,国际,2.0,
1,5035,前,2.0,1.0
2,4997,融资,2.0,3.0
3,4844,新能源,3.0,1
2,4835,战略,3.0,4
1,4762,近,2.0, 
2,4743,生物,2.0,
2,4694,合作,3.0,4
2,4633,发行,2.0,
3,4581,三季度,2.0,1.0
2,4506,未来,2.0,4
2,4479,去年,2.0,1
2,4471,继续,2.0, 
2,4456,持续,2.0,
2,4447,产业,3.0,4
1,4365,及,2.0,
2,4317,中期,2.0,1
2,4298,电力,2.0,
2,4296,重大,2.0,4
1,4237,对,2.0, 
1,4179,三,2.0,
2,4160,影响,2.0,
2,4149,快讯,2.0,
1,4090,可,2.0,
2,4088,布局,3.0,4
1,4044,后,2.0,
2,4011,价格,2.0,1
2,3958,制药,3.0,1
1,3954,了,2.0,
2,3907,销售,2.0,1.0
2,3881,质押,2.0,3.0
2,3834,提升,3.0,1
2,3823,东方,2.0,
1,3819,称,2.0,
2,3808,光电,2.0,
2,3804,技术,2.0,4
1,3797,仍,2.0, 
1,3784,向,2.0,
2,3780,亏损,1.0,1
2,3768,回购,2.0,4.0
2,3766,大幅,3.0,1
2,3763,受益,3.0,
2,3692,化工,2.0,
5,3673,Found,,
2,3673,公开,3.0,
3,3673,Not,,
2,3671,建设,2.0,4.0
2,3669,电气,2.0,4
2,3659,下降,1.0,
2,3629,产能,2.0,1.0
2,3615,反弹,2.0, 
2,3609,中标,3.0,1
2,3597,实现,3.0,1
2,3594,贵州,2.0, 
2,3512,下滑,1.0,1
3,3511,停复牌,,
1,3504,达,3.0,
2,3493,今年,2.0,1
2,3459,上涨,3.0,1
2,3448,推荐,3.0,1
2,3439,龙头,3.0,1
1,3427,两,2.0,
1,3393,未,1.0,
2,3387,完成,3.0,1
2,3384,今日,2.0,
2,3366,智能,2.0,2.0
2,3337,事项,2.0,
2,3321,石油,,
4,3265,股东大会,2.0,4
4,3252,上市公司,2.0,
2,3245,协议,2.0,
2,3243,通过,3.0,4
2,3240,利润,3.0,1
1,3234,金,2.0,
2,3229,矿业,2.0,1
2,3196,北京,2.0,
2,3123,关于,2.0,
1,3112,多,3.0,
2,3102,方案,2.0,2.0
2,3097,召开,2.0,4
2,3088,创新,2.0,2.0
2,3080,动力,2.0, 
1,3069,家,2.0, 
1,3068,个,2.0, 
2,3055,年报,2.0,4.0
2,3028,营收,3.0,1.0
2,3009,股票,2.0,1
2,3004,连续,2.0,4
2,3001,募资,3.0,3
2,2997,生产,3.0,1
1,2980,沪,2.0, 
2,2978,国内,2.0,
2,2969,转型,3.0,4.0
2,2950,合同,2.0,
2,2934,估值,2.0,3.0
2,2933,钢铁,2.0, 
1,2932,约,2.0,
2,2919,新股,3.0,3
2,2912,环保,3.0,2.0
1,2886,只,2.0,
1,2877,一,2.0,一
2,2871,披露,3.0,
3,2857,证监会,2.0,3
2,2856,终止,1.0,
2,2853,部分,2.0,
2,2852,品牌,2.0,4
2,2851,风险,1.0,3
2,2838,持股,3.0,1
2,2831,政策,2.0,4
2,2825,激励,3.0,4.0
2,2796,医疗,2.0,
1,2792,派,2.0,
2,2791,整合,3.0,4
1,2783,期,2.0,
1,2765,涨,3.0,1
2,2758,不超,2.0,
2,2753,并购,2.0,4.0
1,2749,因,2.0, 
2,2732,调查,2.0,
2,2727,年度,2.0,
1,2697,图,,
2,2679,水泥,2.0, 
2,2669,重工,2.0, 
2,2658,增资,3.0,3.0
2,2655,进入,3.0,4
2,2643,跌停,1.0,1
3,2621,目标价,2.0,1
2,2611,电器,2.0,1
2,2609,维持,3.0,
2,2607,其他,2.0,
2,2597,加速,3.0,
4,2593,中兴通讯,2.0,
2,2563,空间,3.0,1
2,2559,山东,2.0,
2,2548,行情,2.0,3
2,2547,实控,2.0,4.0
2,2527,看好,3.0,
2,2507,高管,2.0,4
2,2500,A股,,
2,2495,成长,3.0,
2,2492,申请,3.0,4
2,2490,扩张,3.0,4
3,2481,创业板,2.0,3.0
2,2470,筹划,3.0,4
2,2453,定增,3.0,1
2,2453,大涨,3.0,
2,2450,订单,2.0,1.0
2,2447,大盘,2.0,3.0
2,2436,信息,2.0,
2,2411,融券,,
2,2408,机会,3.0,
2,2399,全球,2.0,
1,2392,函,2.0,
2,2392,啤酒,2.0,
2,2386,收入,2.0,1
1,2377,非,1.0, 
1,2377,上,2.0,
3,2372,五粮液,2.0,1
2,2363,领域,2.0,
1,2361,降,1.0,1
2,2358,期货,,
2,2356,打造,2.0,2
1,2355,转,2.0,
2,2351,复牌,3.0,1.0
2,2350,重庆,2.0, 
2,2349,券商,2.0,3.0
1,2347,欲,2.0,
2,2344,石化,2.0, 
2,2342,强势,3.0,1.0
2,2340,上调,3.0,1
2,2321,通信,3.0,4
2,2321,启动,2.0,4.0
2,2306,违规,1.0,4.0
2,2303,第一,2.0,1
2,2300,海外,2.0,4
2,2299,白酒,2.0,
1,2271,占,2.0,
1,2258,地,2.0,
2,2258,经营,2.0,1.0
2,2256,关联,2.0,4.0
2,2250,出售,2.0,
3,2224,比亚迪,2.0,1
2,2223,点评,2.0,
2,2223,黄金,2.0,1
2,2221,销量,2.0,1.0
2,2216,政府,2.0,
2,2201,研发,3.0,2.0
2,2198,注入,3.0,3
2,2186,突破,3.0,1.0
1,2181,能,3.0,1
3,2178,产业链,2.0,4
4,2175,格力电器,2.0, 
2,2161,银行,2.0,3.0
1,2158,指,2.0,
2,2152,主业,2.0,4
1,2144,下,2.0,
2,2140,大宗,2.0,
2,2136,健康,3.0,
2,2131,震荡,1.0,3
1,2125,酒,2.0, 
2,2123,利好,3.0,4.0
2,2122,高端,3.0,2
1,2082,投,2.0,
2,2081,稀土,2.0,
2,2081,累计,2.0,1
4,2078,资产重组,2.0,3.0
4,2076,人事变动,,
2,2073,食品,2.0,
2,2066,辞职,1.0,4.0
2,2064,最大,3.0,1
2,2047,短期,2.0, 
1,2040,受,2.0,
2,2039,拟定,2.0,4.0
2,2038,收到,2.0, 
2,2037,价值,3.0,3
1,2037,深,2.0,
2,2036,回应,3.0,4
2,2030,涨价,3.0,1
2,2028,江苏,2.0,
2,2021,实业,2.0, 
2,2018,概念,3.0,2
3,2018,投资者,3.0,3
2,2011,推进,3.0,4.0
