len,count,word,sentiment,topic
2,38463,股份,2,3.0
2,17180,股东,2,4.0
1,12998,年,2,
2,11608,增长,3,
2,9002,股权,2,4.0
1,7864,将,2,
1,7096,与,2,
2,6394,万股,2,3.0
2,5489,投资,2,3.0
2,5234,产品,2,2.0
2,5006,中国,2,
2,4730,汽车,2,
1,4447,超,3,
1,4320,等,2,
1,4086,和,2,
2,4014,计划,2,
1,3784,人,2,
1,3740,或,2,
2,3509,生物,2,
1,3407,前,2,1.0
3,3359,三季度,2,1.0
2,3231,质押,2,3.0
1,3023,高,3,
1,2900,倍,3,
2,2842,基金,2,2.0
2,2692,营收,3,1.0
2,2628,光电,2,
2,2545,实控,2,4.0
2,2441,终止,1,
2,2386,发行,2,
2,2347,影响,2,
1,2333,是,2,
2,2305,智能,2,2.0
2,2279,事项,2,
2,2211,医疗,2,
2,2171,化工,2,
2,2069,年度,2,
2,2038,公开,3,
2,1996,销售,2,1.0
2,1959,产能,2,1.0
1,1941,向,2,
2,1902,披露,3,
2,1876,买入,3,3.0
2,1816,问询,2,
4,1738,中兴通讯,2,
3,1717,深交所,2,3.0
2,1672,建设,2,4.0
1,1635,称,2,
2,1606,创新,2,2.0
2,1584,方案,2,2.0
2,1551,国际,2,
2,1513,违规,1,4.0
2,1489,经营,2,1.0
2,1472,复牌,3,1.0
2,1440,增资,3,3.0
2,1425,白酒,2,
2,1396,政府,2,
2,1382,合同,2,
2,1352,调查,2,
2,1340,加速,3,
1,1332,期,2,
2,1325,出售,2,
1,1297,多,3,
2,1280,加码,3,
2,1257,会议,2,
2,1243,设立,1,
2,1227,全球,2,
2,1217,董事,2,4.0
2,1191,成长,3,
2,1182,山东,2,
1,1158,上,2,
1,1153,欲,2,
2,1128,控制,2,
2,1112,客车,2,
2,1097,监管,1,4.0
2,1063,精密,2,2.0
1,1053,投,2,
2,1038,涉嫌,1,
1,1017,天,2,
2,1004,浙江,2,
2,988,大涨,3,
2,984,国内,2,
2,975,北京,2,
2,971,药品,2,
2,963,江淮,2,
2,960,进行,2,
2,953,用于,2,
1,938,推,2,
2,926,成交,3,4.0
2,921,需求,2,1.0
1,912,净,2,
2,904,投产,3,1.0
2,896,补助,3,
2,891,合资,3,
2,874,基地,2,
2,860,制造,2,
2,853,中航,2,
2,848,看好,3,
2,841,万吨,2,
2,830,再度,2,
1,823,创,1,
2,815,电池,2,
2,812,预告,2,
1,809,总,2,
2,805,装备,2,
2,799,澄清,3,
2,792,资源,2,
2,788,正式,3,
2,782,溢价,2,1.0
2,776,三一,2,
3,770,上交所,2,3.0
2,767,券商,2,3.0
2,762,立案,1,
2,756,提供,2,
2,753,临时,2,
2,750,芯片,2,2.0
1,745,好,3,
2,737,紫光,2,
2,735,优势,3,
2,728,青岛,2,
2,721,规模,2,
1,716,无,1,
2,712,全面,3,
2,707,巨头,3,1.0
2,699,玻璃,2,
2,693,集中,2,
2,687,四川,2,
2,682,核心,3,
1,678,比,2,
1,672,药,2,
2,669,低于,1,
1,660,现,2,
2,657,出炉,2,
1,655,内,2,
2,649,年内,2,
2,646,大跌,1,
1,644,就,2,
2,633,服务,2,
2,626,现金,2,3.0
2,625,工程,2,
2,618,否认,1,
2,614,面临,2,
2,612,长期,2,
2,607,加快,3,
2,606,力帆,2,
2,603,传闻,2,
1,595,之,2,
2,591,海康,2,
2,590,明年,2,
2,587,要求,2,
2,582,下调,1,
2,578,天齐,2,
2,574,推出,3,
2,569,改善,3,
4,566,第三季度,2,1.0
2,563,四成,2,
2,558,发生,2,
2,556,智飞,2,
2,554,金融,2,3.0
2,551,财务,2,
2,546,华菱,2,
1,539,这,2,
2,539,下跌,1,
2,537,联手,3,
2,529,收益,3,1.0
2,525,长春,2,
2,523,快报,2,
2,521,风电,2,
1,517,签,2,
2,516,预案,2,
1,513,也,2,
2,510,亚太,2,
3,508,资不超,2,
2,505,消费,2,
2,502,自主,3,2.0
1,500,持,2,
2,499,中心,2,
2,498,两成,2,
1,496,定,2,
2,494,开启,3,
